,HEHV,IBT1,IBT2,LSHV,NLTV,P20V,RPM,SSHV,SSW1,TTEM,TTSW
45615.27269,599.5,187.7,108.8,877.8,0,15.6,0,912.5,95,31.5,4918.8
45615.27274,599.5,200.7,117.5,877.8,0,17,0,912.5,106,18.9,0
45615.2728,599.5,200.7,119.6,1169.8936,0,17,0,1016.3164,98,18.9,0
45615.27286,599.5,202.9,121.8,1170.7734,0,17,0,1016.3164,102,18.9,0
45615.27292,599.5,201.8,121.8,1170.7734,0,17,0,1016.3164,94.74,18.9,0
45615.27297,599.5,203.9,122.9,1170.7734,0,17,0,1016.3164,101,18.9,0
45615.27303,1370.2048,203.9,121.8,1171.6533,0,17,0,1016.3164,94.59,18.9,0
45615.27309,1370.2048,203.9,122.9,1171.6533,0,17,0,1016.3164,95,18.9,0
45615.27315,1370.2048,203.9,122.9,1171.6533,0,17,0,1016.3164,95,18.9,0
45615.27321,1370.2048,205,121.8,1171.6533,0,17,0,1016.3164,100,18.9,0
45615.27326,1370.2048,205,120.7,1171.6533,0,17,0,1016.3164,98,18.9,0
45615.27332,1370.2048,202.9,120.7,1171.6533,0,17,0,1016.3164,96,18.9,0
45615.27338,1369.325,202.9,119.6,1171.6533,0,17,0,1017.1962,92.81,18.9,0
45615.27344,1369.325,203.9,119.6,1171.6533,0,17,0,1017.1962,100,18.9,0
45615.2735,1369.325,202.9,120.7,1171.6533,0,17,0,1017.1962,105,18.9,0
45615.27355,1369.325,202.9,120.7,1171.6533,0,17,0,1017.1962,108,18.9,0
45615.27361,1369.325,202.9,120.7,1171.6533,0,17,0,1017.1962,101,18.9,0
45615.27367,1369.325,202.9,121.8,1171.6533,0,17,0,1017.1962,102,18.9,0
45615.27373,1371.9644,203.9,120.7,1171.6533,0,17,0,1017.1962,100,18.9,0
45615.27378,1371.9644,203.9,120.7,1171.6533,0,17,0,1017.1962,99,18.9,0
45615.27384,1371.9644,200.7,120.7,1171.6533,0,17,0,1017.1962,96,18.9,0
45615.2739,1371.9644,202.9,122.9,1171.6533,0,17,0,1017.1962,101,18.9,0
45615.27396,1371.9644,201.8,121.8,1171.6533,0,17,0,1017.1962,103,18.9,0
45615.27402,1371.9644,201.8,122.9,1171.6533,0,17,0,1017.1962,92.81,18.9,0
45615.27407,1372.8442,200.7,120.7,1171.6533,0,17,0,1017.1962,105,18.9,0
